timestamp,temperature
1970-01-01,-13.825000000000001
1970-01-02,-7.008333333333334
1970-01-03,-1.6833333333333333
1970-01-04,-4.7749999999999995
1970-01-05,-4.891666666666667
1970-01-06,-3.904166666666667
1970-01-07,-8.479166666666666
1970-01-08,-12.75
1970-01-09,-7.258333333333333
1970-01-10,-3.1916666666666664
1970-01-11,-0.041666666666666706
1970-01-12,-0.9208333333333334
1970-01-13,0.1333333333333333
1970-01-14,-1325
1970-01-15,-0.4708333333333334
1970-01-16,-2.529166666666667
1970-01-17,-6.579166666666667
1970-01-18,-7.3999999999999995
1970-01-19,-11.270833333333334
1970-01-20,-6.879166666666666
1970-01-21,-7.491666666666667
1970-01-22,-7.770833333333333
1970-01-23,-7125
1970-01-24,-4.8875
1970-01-25,-1.4333333333333333
1970-01-26,1.3958333333333333
1970-01-27,0.9083333333333333
1970-01-28,-1.8416666666666668
1970-01-29,-3.0083333333333333
1970-01-30,-6.358333333333333
1970-01-31,-11.325000000000001
1970-02-01,-13.229166666666666
1970-02-02,-9.829166666666667
1970-02-03,1.4083333333333332
1970-02-04,2.966666666666667
1970-02-05,2.3416666666666663
1970-02-06,-1.6208333333333333
1970-02-07,-1.2375
1970-02-08,2.1666666666666665
1970-02-09,0.7166666666666667
1970-02-10,0.42083333333333334
1970-02-11,-0.45
1970-02-12,-1.3708333333333333
1970-02-13,-1.7041666666666666
1970-02-14,-4.020833333333333
1970-02-15,-8.700000000000001
1970-02-16,-7.091666666666666
1970-02-17,-5.470833333333334
1970-02-18,-4.2375
1970-02-19,-6.558333333333334
1970-02-20,-0.6541666666666667
1970-02-21,1.3916666666666666
1970-02-22,0.5916666666666667
1970-02-23,-0.6291666666666667
1970-02-24,-2.1333333333333333
1970-02-25,0.06250000000000001
1970-02-26,-1.3499999999999999
1970-02-27,-2.9625
1970-02-28,-3.6833333333333336
1970-03-01,-3.3041666666666667
1970-03-02,-0.2333333333333333
1970-03-03,-1.9791666666666667
1970-03-04,-2.2875
